"herzschlag","sauerstoff","emotion"
"76","0","happy"
"76","0","happy"
"76","89","happy"
"76","89","happy"
"76","89","happy"
"76","89","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"0","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"76","92","happy"
"73","92","happy"
"73","92","happy"
"73","92","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","97","happy"
"72","97","happy"
"72","97","happy"
"72","97","happy"
"72","97","happy"
"72","97","happy"
"0","98","happy"
"0","98","happy"
"0","98","happy"
"0","98","happy"
"0","98","happy"
"0","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","99","happy"
"74","99","happy"
"74","99","happy"
"74","99","happy"
"74","99","happy"
"74","99","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"74","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","97","happy"
"73","97","happy"
"73","97","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"73","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"72","98","happy"
"71","98","happy"
"71","98","happy"
"71","98","happy"
"71","98","happy"
"71","98","afraid"
"71","98","afraid"
"71","98","afraid"
"71","98","afraid"
"71","98","afraid"
"72","98","afraid"
"72","98","afraid"
"72","98","afraid"
"72","98","afraid"
"72","98","afraid"
"72","98","afraid"
"72","98","afraid"
"72","98","afraid"
"72","98","afraid"
"71","98","afraid"
"71","98","afraid"
"71","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","99","afraid"
"70","99","afraid"
"70","99","afraid"
"69","99","afraid"
"69","99","afraid"
"69","99","afraid"
"71","99","afraid"
"71","99","afraid"
"71","99","afraid"
"71","99","afraid"
"71","99","afraid"
"71","99","afraid"
"71","99","afraid"
"71","99","afraid"
"71","99","afraid"
"72","99","afraid"
"72","99","afraid"
"72","99","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"73","98","afraid"
"71","98","afraid"
"71","98","afraid"
"71","98","afraid"
"71","98","afraid"
"71","98","afraid"
"71","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"70","98","afraid"
"69","98","afraid"
"69","98","afraid"
"69","98","afraid"
"69","98","afraid"
"69","98","afraid"
"69","98","afraid"
"68","98","afraid"
"68","98","afraid"
"68","98","afraid"
"68","98","afraid"
"68","98","afraid"
"68","98","afraid"
"68","98","afraid"
"68","98","afraid"
"68","98","afraid"
"67","98","afraid"
"67","98","afraid"
"67","98","afraid"
"67","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"66","98","afraid"
"67","98","afraid"
"67","98","afraid"
"67","98","afraid"
"67","98","afraid"
"67","98","afraid"
